MICROPHONE,ORIENTATION,SOUND,ANGLE,ANSWER,PERSON
ZYLIA,AZIMUTH,NOISE,-30,-60,1
ZYLIA,ELEVATION,NOISE,-15,70,1
ZYLIA,ELEVATION,NOISE,90,90,1
ZYLIA,ELEVATION,NOISE,-45,90,1
ZYLIA,ELEVATION,NOISE,-150,180,1
ZYLIA,ELEVATION,NOISE,105,130,1
ZYLIA,ELEVATION,NOISE,-135,-90,1
ZYLIA,ELEVATION,NOISE,30,0,1
ZYLIA,ELEVATION,NOISE,135,-130,1
ZYLIA,AZIMUTH,ANGRY,0,-20,1
ZYLIA,AZIMUTH,ANGRY,90,180,1
ZYLIA,AZIMUTH,ANGRY,-90,-120,1
ZYLIA,AZIMUTH,ANGRY,150,-90,1
ZYLIA,AZIMUTH,ANGRY,30,80,1
ZYLIA,AZIMUTH,ANGRY,-150,70,1
ZYLIA,AZIMUTH,ANGRY,180,5,1
ZYLIA,AZIMUTH,ANGRY,-30,-60,1
ZYLIA,ELEVATION,SWEET,-15,90,1
ZYLIA,ELEVATION,SWEET,90,60,1
ZYLIA,ELEVATION,SWEET,-45,160,1
ZYLIA,ELEVATION,SWEET,-150,140,1
ZYLIA,ELEVATION,SWEET,105,130,1
ZYLIA,ELEVATION,SWEET,-135,-170,1
ZYLIA,ELEVATION,SWEET,30,-120,1
ZYLIA,ELEVATION,SWEET,135,0,1
BINAURAL,AZIMUTH,TRUMPET,0,160,2
BINAURAL,AZIMUTH,TRUMPET,90,135,2
BINAURAL,AZIMUTH,TRUMPET,-90,165,2
BINAURAL,AZIMUTH,TRUMPET,150,45,2
BINAURAL,AZIMUTH,TRUMPET,30,25,2
BINAURAL,AZIMUTH,TRUMPET,-150,45,2
BINAURAL,AZIMUTH,TRUMPET,180,68,2
BINAURAL,AZIMUTH,TRUMPET,-30,-75,2
BINAURAL,ELEVATION,DUCK,-15,5,2
BINAURAL,ELEVATION,DUCK,90,180,2
BINAURAL,ELEVATION,DUCK,-45,-150,2
BINAURAL,ELEVATION,DUCK,-150,-130,2
BINAURAL,ELEVATION,DUCK,105,-110,2
BINAURAL,ELEVATION,DUCK,-135,-96,2
BINAURAL,ELEVATION,DUCK,30,-162,2
BINAURAL,ELEVATION,DUCK,135,160,2
BINAURAL,AZIMUTH,NOISE,0,85,2
BINAURAL,AZIMUTH,NOISE,90,110,2
BINAURAL,AZIMUTH,NOISE,-90,145,2
BINAURAL,AZIMUTH,NOISE,150,95,2
BINAURAL,AZIMUTH,NOISE,30,65,2
BINAURAL,AZIMUTH,NOISE,-150,36,2
BINAURAL,AZIMUTH,NOISE,180,15,2
BINAURAL,AZIMUTH,NOISE,-30,45,2
BINAURAL,ELEVATION,NOISE,-15,67,2
BINAURAL,ELEVATION,NOISE,90,40,2
BINAURAL,ELEVATION,NOISE,-45,50,2
BINAURAL,ELEVATION,NOISE,-150,185,2
BINAURAL,ELEVATION,NOISE,105,145,2
BINAURAL,ELEVATION,NOISE,-135,-140,2
BINAURAL,ELEVATION,NOISE,30,-105,2
BINAURAL,ELEVATION,NOISE,135,-90,2
BINAURAL,AZIMUTH,ANGRY,0,33,2
BINAURAL,AZIMUTH,ANGRY,90,80,2
BINAURAL,AZIMUTH,ANGRY,-90,65,2
BINAURAL,AZIMUTH,ANGRY,150,50,2
BINAURAL,AZIMUTH,ANGRY,30,20,2
BINAURAL,AZIMUTH,ANGRY,-150,4,2
BINAURAL,AZIMUTH,ANGRY,180,6,2
BINAURAL,AZIMUTH,ANGRY,-30,12,2
BINAURAL,ELEVATION,SWEET,-15,20,2
BINAURAL,ELEVATION,SWEET,90,170,2
BINAURAL,ELEVATION,SWEET,-45,145,2
BINAURAL,ELEVATION,SWEET,-150,,2
BINAURAL,ELEVATION,SWEET,105,130,2
BINAURAL,ELEVATION,SWEET,-135,155,2
BINAURAL,ELEVATION,SWEET,30,110,2
BINAURAL,ELEVATION,SWEET,135,135,2
AMBEO,AZIMUTH,TRUMPET,0,130,2
AMBEO,AZIMUTH,TRUMPET,90,105,2
AMBEO,AZIMUTH,TRUMPET,-90,142,2
AMBEO,AZIMUTH,TRUMPET,150,90,2
AMBEO,AZIMUTH,TRUMPET,30,80,2
AMBEO,AZIMUTH,TRUMPET,-150,55,2
